UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
101505,36, 36,"R",1,"R",0
101505,37, 37,"R",1,"R",0
101505,39, 39,"R",2,"R",1
101505,42, 42,"R",1,"R",0
101505,45, 45,"R",1,"R",1
101505,47, 47,"R",3,"R",2
101505,48, 48,"R",1,"R",0
101505,51, 51,"R",2,"R",1
101505,58,999,"R",1285,"R",881
101505,90, 90,"R",1,"R",0
101505,98, 98,"R",46,"A",
101505,99, 99,"R",1332,"R",881
101514, 1,  1,"R",1737,"R",1288
101514,12, 12,"R",6,"R",4
101514,13, 13,"R",4,"R",4
101514,28, 28,"R",2,"R",1
101514,32, 32,"R",1,"R",1
101514,34, 34,"R",2,"R",2
101514,36, 36,"R",2,"R",2
101514,47, 47,"R",20,"R",17
101514,57, 57,"R",1,"Z",0
101514,58,999,"R",1775,"R",1319
101514,99, 99,"R",1775,"R",1319
101569, 1,  1,"R",716,"R",472
101569,12, 12,"R",4,"R",4
101569,24, 24,"R",1,"R",0
101569,32, 32,"R",1,"R",0
101569,40, 40,"R",2,"R",1
101569,42, 42,"R",1,"R",0
101569,47, 47,"R",3,"R",1
101569,48, 48,"R",2,"R",2
101569,57, 57,"R",1,"R",1
101569,58,999,"R",731,"R",481
101569,98, 98,"R",4,"A",
101569,99, 99,"R",735,"R",481
101587, 1,  1,"R",244,"R",99
101587, 5,  5,"R",1,"Z",0
101587,12, 12,"R",3,"R",1
101587,13, 13,"R",7,"R",1
101587,22, 22,"R",4,"R",3
101587,26, 26,"R",1,"Z",0
101587,28, 28,"R",37,"R",12
101587,34, 34,"R",1,"Z",0
101587,35, 35,"R",1,"Z",0
101587,37, 37,"R",4,"R",2
101587,47, 47,"R",4,"Z",0
101587,48, 48,"R",2,"Z",0
101587,58,999,"R",309,"R",118
101587,98, 98,"R",6,"A",
101587,99, 99,"R",315,"R",118
101602, 1,  1,"R",403,"R",345
101602,12, 12,"R",27,"R",23
101602,13, 13,"R",4,"R",4
101602,22, 22,"R",3,"R",3
101602,28, 28,"R",1,"R",1
101602,32, 32,"R",1,"R",1
101602,58,999,"R",439,"R",377
101602,98, 98,"R",6,"A",
101602,99, 99,"R",445,"R",377
101648, 1,  1,"R",68,"R",64
101648, 4,  4,"R",2,"R",2
101648, 5,  5,"R",3,"R",3
101648, 6,  6,"R",4,"R",4
101648, 8,  8,"R",2,"R",2
101648, 9,  9,"R",1,"R",1
101648,12, 12,"R",20,"R",18
101648,13, 13,"R",9,"R",9
101648,15, 15,"R",1,"R",1
101648,17, 17,"R",1,"R",1
101648,20, 20,"R",2,"R",2
101648,21, 21,"R",2,"R",2
101648,22, 22,"R",2,"R",2
101648,23, 23,"R",1,"R",1
101648,24, 24,"R",2,"R",2
101648,25, 25,"R",2,"R",2
101648,26, 26,"R",1,"R",1
101648,28, 28,"R",7,"R",6
101648,29, 29,"R",1,"R",1
101648,34, 34,"R",3,"R",3
101648,36, 36,"R",3,"R",2
101648,37, 37,"R",6,"R",5
101648,39, 39,"R",1,"R",1
101648,42, 42,"R",2,"R",2
101648,45, 45,"R",1,"R",1
101648,47, 47,"R",1,"R",1
101648,48, 48,"R",14,"R",13
101648,51, 51,"R",5,"R",5
101648,53, 53,"R",1,"R",1
101648,57, 57,"R",3,"R",2
101648,58,999,"R",171,"R",160
101648,98, 98,"R",2,"A",
101648,99, 99,"R",173,"R",160
101709, 1,  1,"R",385,"R",270
101709, 2,  2,"R",1,"R",1
101709, 4,  4,"R",1,"R",1
101709, 5,  5,"R",1,"R",1
101709, 6,  6,"R",3,"R",2
101709, 8,  8,"R",2,"R",2
101709,10, 10,"R",1,"R",1
101709,12, 12,"R",16,"R",12
101709,13, 13,"R",25,"R",22
101709,17, 17,"R",3,"R",2
101709,18, 18,"R",1,"Z",0
101709,22, 22,"R",1,"R",1
101709,28, 28,"R",4,"R",3
101709,29, 29,"R",1,"Z",0
101709,34, 34,"R",2,"R",2
101709,37, 37,"R",1,"R",1
101709,39, 39,"R",2,"R",2
101709,40, 40,"R",1,"R",1
101709,42, 42,"R",2,"R",2
101709,45, 45,"R",1,"Z",0
101709,47, 47,"R",10,"R",10
101709,48, 48,"R",6,"R",3
101709,51, 51,"R",1,"R",1
101709,54, 54,"R",2,"R",1
101709,58,999,"R",473,"R",341
101709,90, 90,"R",28,"R",14
101709,99, 99,"R",501,"R",355
101736, 1,  1,"R",571,"R",473
101736,28, 28,"R",1,"R",1
101736,47, 47,"R",9,"R",8
101736,48, 48,"R",1,"R",0
101736,58,999,"R",582,"R",482
101736,98, 98,"R",9,"A",
101736,99, 99,"R",591,"R",482
101897, 1,  1,"R",481,"R",381
101897, 8,  8,"R",1,"R",1
101897,13, 13,"R",3,"R",3
101897,58,999,"R",485,"R",385
101897,98, 98,"R",6,"A",
101897,99, 99,"R",491,"R",385
101912, 1,  1,"R",40,"R",18
101912, 4,  4,"R",2,"R",1
101912, 6,  6,"R",12,"R",5
101912, 8,  8,"R",1,"Z",0
101912, 9,  9,"R",4,"Z",0
101912,11, 11,"R",1,"R",1
101912,12, 12,"R",18,"R",6
101912,13, 13,"R",22,"R",7
101912,17, 17,"R",3,"Z",0
101912,18, 18,"R",2,"Z",0
101912,20, 20,"R",1,"Z",0
101912,21, 21,"R",2,"Z",0
101912,22, 22,"R",3,"Z",0
101912,23, 23,"R",1,"R",1
101912,24, 24,"R",26,"R",13
101912,26, 26,"R",5,"Z",0
101912,27, 27,"R",2,"R",2
101912,28, 28,"R",3,"Z",0
101912,29, 29,"R",3,"R",1
101912,34, 34,"R",5,"R",1
101912,36, 36,"R",22,"R",6
101912,37, 37,"R",5,"Z",0
101912,39, 39,"R",5,"R",3
101912,42, 42,"R",4,"R",1
101912,45, 45,"R",1,"Z",0
101912,47, 47,"R",13,"R",10
101912,48, 48,"R",15,"R",7
101912,51, 51,"R",5,"R",2
101912,58,999,"R",226,"R",85
101912,98, 98,"R",64,"A",
101912,99, 99,"R",290,"R",85
101994, 1,  1,"R",83,"R",63
101994, 4,  4,"R",1,"R",1
101994,12, 12,"R",2,"R",2
101994,58,999,"R",86,"R",66
101994,99, 99,"R",86,"R",66
102030, 1,  1,"R",664,"R",359
102030, 6,  6,"R",1,"R",1
102030,12, 12,"R",13,"R",11
102030,13, 13,"R",6,"R",5
102030,22, 22,"R",4,"R",3
102030,47, 47,"R",1,"R",1
102030,58,999,"R",689,"R",380
102030,98, 98,"R",26,"A",
102030,99, 99,"R",715,"R",380
102049, 1,  1,"R",244,"R",239
102049, 4,  4,"R",2,"R",2
102049, 5,  5,"R",16,"R",16
102049, 6,  6,"R",13,"R",13
102049, 8,  8,"R",10,"R",9
102049,12, 12,"R",74,"R",72
102049,13, 13,"R",257,"R",251
102049,17, 17,"R",9,"R",9
102049,18, 18,"R",8,"R",8
102049,20, 20,"R",1,"R",1
102049,21, 21,"R",15,"R",15
102049,22, 22,"R",20,"R",20
102049,24, 24,"R",1,"R",1
102049,25, 25,"R",1,"R",1
102049,26, 26,"R",3,"R",3
102049,27, 27,"R",7,"R",7
102049,28, 28,"R",19,"R",19
102049,29, 29,"R",10,"R",9
102049,32, 32,"R",1,"R",1
102049,34, 34,"R",1,"R",1
102049,36, 36,"R",1,"R",1
102049,37, 37,"R",35,"R",35
102049,39, 39,"R",5,"R",5
102049,40, 40,"R",7,"R",7
102049,41, 41,"R",1,"R",1
102049,42, 42,"R",1,"R",1
102049,45, 45,"R",18,"R",17
102049,47, 47,"R",184,"R",181
102049,48, 48,"R",100,"R",94
102049,51, 51,"R",5,"R",5
102049,53, 53,"R",3,"R",2
102049,55, 55,"R",2,"R",2
102049,58,999,"R",1074,"R",1048
102049,90, 90,"R",6,"R",5
102049,99, 99,"R",1080,"R",1053
102067, 1,  1,"R",917,"R",732
102067, 4,  4,"R",2,"R",1
102067, 6,  6,"R",1,"R",1
102067,12, 12,"R",6,"R",6
102067,13, 13,"R",4,"R",4
102067,17, 17,"R",2,"R",1
102067,18, 18,"R",1,"R",1
102067,19, 19,"R",1,"R",1
102067,21, 21,"R",1,"R",1
102067,22, 22,"R",5,"R",5
102067,24, 24,"R",1,"R",0
102067,28, 28,"R",3,"R",3
102067,29, 29,"R",1,"R",0
102067,31, 31,"R",1,"R",1
102067,34, 34,"R",1,"R",1
102067,36, 36,"R",2,"R",2
102067,37, 37,"R",2,"R",1
102067,42, 42,"R",1,"R",1
102067,47, 47,"R",1,"R",0
102067,48, 48,"R",1,"R",1
102067,53, 53,"R",1,"R",1
102067,54, 54,"R",1,"R",1
102067,55, 55,"R",1,"R",0
102067,58,999,"R",957,"R",765
102067,98, 98,"R",15,"A",
102067,99, 99,"R",972,"R",765
102094, 1,  1,"R",1402,"R",1331
102094, 4,  4,"R",1,"R",1
102094, 6,  6,"R",1,"R",1
102094, 8,  8,"R",3,"R",3
102094,12, 12,"R",119,"R",116
102094,13, 13,"R",15,"R",14
102094,17, 17,"R",43,"R",43
102094,18, 18,"R",3,"R",3
102094,19, 19,"R",1,"R",1
102094,20, 20,"R",4,"R",4
102094,21, 21,"R",2,"R",2
102094,22, 22,"R",73,"R",73
