UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
216287,42,32,1,1,"999","R",21,"R",14,"R",7,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",8,"R",6,"R",2,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1,"R",1
216287,43,31,2,2,"22 ","R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1
216287,44,32,2,2,"23 ","R",21,"R",14,"R",7,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",8,"R",6,"R",2,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1,"R",1
216296,27,10,4,4,"10 ","R",485,"R",438,"R",47,"R",2,"R",2,"R",0,"R",7,"R",5,"R",2,"R",47,"R",45,"R",2,"R",63,"R",54,"R",9,"R",0,"R",0,"R",0,"R",345,"R",314,"R",31,"R",20,"R",17,"R",3,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
216296,29,12,4,4,"50 ","R",485,"R",438,"R",47,"R",2,"R",2,"R",0,"R",7,"R",5,"R",2,"R",47,"R",45,"R",2,"R",63,"R",54,"R",9,"R",0,"R",0,"R",0,"R",345,"R",314,"R",31,"R",20,"R",17,"R",3,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
216296,30,13,4,4,"29A","R",291,"R",260,"R",31,"R",1,"R",1,"Z",0,"R",5,"R",4,"R",1,"R",14,"R",14,"Z",0,"R",29,"R",23,"R",6,"Z",0,"Z",0,"Z",0,"R",230,"R",208,"R",22,"R",11,"R",9,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
216296,31,14,4,4,"11A","R",10,"R",9,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216296,32,15,4,4,"12A","R",281,"R",251,"R",30,"R",1,"R",1,"Z",0,"R",5,"R",4,"R",1,"R",13,"R",13,"Z",0,"R",25,"R",19,"R",6,"Z",0,"Z",0,"Z",0,"R",225,"R",204,"R",21,"R",11,"R",9,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
216296,35,22,4,4,"57 ","R",254,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
216296,36,23,4,4,"55 ","R",10,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
216296,37,24,4,4,"56 ","R",244,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
216296,47,31,4,4,"22 ","R",7,"R",4,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216296,48,32,4,4,"23 ","R",187,"R",174,"R",13,"R",1,"R",1,"R",0,"R",2,"R",1,"R",1,"R",31,"R",30,"R",1,"R",32,"R",30,"R",2,"R",0,"R",0,"R",0,"R",112,"R",104,"R",8,"R",9,"R",8,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
216311, 1,10,1,1,"999","R",38,"R",38,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",34,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0
216311, 2,12,1,1,"999","R",38,"R",38,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",34,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0
216311, 3,13,1,1,"999","R",31,"R",31,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
216311, 4,20,1,1,"999","R",7,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
216311, 6,10,2,2,"10 ","R",38,"R",38,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",34,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0
216311, 8,12,2,2,"50 ","R",38,"R",38,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",34,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0
216311, 9,13,2,2,"29A","R",31,"R",31,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
216311,12,16,2,2,"18A","R",31,"R",31,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
216311,13,17,2,2,"19 ","R",31,"R",31,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
216311,16,20,2,2,"30 ","R",7,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
